TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
757.4777329352319,Debit,San Diego,ATM,10673.46447485665,Doctor,2985.368267803955,5100.811912596401,5112.21,tinggi,1
7237.187861011347,Debit,Houston,ATM,10233.059402588307,Doctor,6305.864761956837,5100.811912596401,13758.91,tinggi,0
2764.998032176265,Debit,Mesa,Online,-556.8648679860908,Student,1601.8280619069214,5100.811912596401,1122.3499999999995,rendah,1
3806.5110145186936,Debit,Raleigh,Online,984.5528849531083,Student,-113.76179340540057,5100.811912596401,8569.06,rendah,1
2154.153620268164,Debit,Oklahoma City,ATM,-777.0674041202619,Student,8021.454617269159,5100.811912596401,781.6800000000003,rendah,1
632.0524450771236,Credit,Seattle,ATM,3406.780782428994,Doctor,6195.181545485075,5100.811912596401,13316.71,sedang,1
3572.479236318402,Credit,Indianapolis,Branch,10012.856866454134,Retired,14607.105997339044,5100.811912596401,2796.24,tinggi,0
2406.0777362513527,Credit,Detroit,Branch,6489.616288307394,Engineer,3262.0763089833617,5100.811912596401,9095.14,sedang,0
15104.806630906776,Debit,Nashville,ATM,7370.426432844079,Doctor,5143.6909890033285,5100.811912596401,1021.8799999999997,sedang,1
823.5004593541207,Credit,Albuquerque,Online,6709.818824441565,Engineer,1767.8528866145648,5100.811912596401,7599.52,sedang,0
3905.276719080285,Debit,Memphis,Online,-116.45979571774842,Student,8076.796225505041,5100.811912596401,1528.81,rendah,1
9353.493573972395,Credit,Mesa,Branch,544.147812684766,Student,4645.616514880396,5100.811912596401,1620.02,rendah,1
14492.888678731702,Debit,Memphis,ATM,984.5528849531083,Student,5309.715813710973,5100.811912596401,189.6899999999996,rendah,1
3493.2161799401692,Debit,Louisville,Online,-777.0674041202619,Student,5918.473504305668,5100.811912596401,299.9300000000003,rendah,0
8833.36331462358,Debit,Denver,ATM,3186.5782462948227,Engineer,5641.76546312626,5100.811912596401,3465.54,sedang,0
10449.936033308317,Credit,Austin,Branch,-556.8648679860908,Student,7246.67210196682,5100.811912596401,1131.2600000000007,rendah,0
9325.044756897587,Debit,Columbus,Online,3847.1858546973367,Engineer,11452.634327893804,5100.811912596401,5109.97,sedang,0
839.603563358728,Credit,Albuquerque,Branch,8251.236577380765,Retired,4368.908473700989,5100.811912596401,7948.37,tinggi,0
1784.318998295685,Credit,Columbus,Online,-777.0674041202619,Student,7855.429792561516,5100.811912596401,6568.59,rendah,0
1566.748170855658,Debit,Los Angeles,Branch,10893.667010990823,Retired,605.6791136610573,5100.811912596401,5750.89,tinggi,0
2040.0005052132815,Debit,Las Vegas,Branch,3626.983318563165,Doctor,3649.4675666345315,5100.811912596401,9146.19,sedang,0
3109.4255344970297,Debit,Raleigh,Online,-116.45979571774842,Student,3815.4923913421753,5100.811912596401,1930.96,rendah,1
639.388303568111,Credit,Houston,Online,9572.451794185792,Retired,13776.981873800822,5100.811912596401,3634.67,tinggi,0
1226.7937529806172,Debit,Milwaukee,Branch,3406.780782428994,Engineer,3760.1507831062945,5100.811912596401,2686.52,sedang,1
2785.753144004425,Debit,Las Vegas,Online,4948.198535368194,Doctor,9404.994823166195,5100.811912596401,1772.06,sedang,0
1510.3873068395337,Debit,Detroit,Branch,1204.75542108728,Student,14164.37313145199,5100.811912596401,1351.69,rendah,0
1011.9067762080249,Credit,Miami,Online,8251.236577380765,Doctor,-390.46983458480827,5100.811912596401,8334.47,tinggi,1
1563.1697032990792,Debit,Baltimore,ATM,1645.1604933556227,Doctor,12725.491317319076,5100.811912596401,9823.64,rendah,0
16211.44772277895,Debit,Los Angeles,Online,103.74274041642275,Student,6803.939236079769,5100.811912596401,399.0,rendah,0
5072.572836036479,Credit,San Francisco,Branch,5168.401071502365,Doctor,1269.778412491633,5100.811912596401,14815.869999999999,sedang,1
2737.622755368432,Debit,Seattle,Branch,6049.211216039051,Engineer,993.0703713122266,5100.811912596401,5764.72,sedang,1
1903.3030445519494,Debit,Milwaukee,Branch,984.5528849531083,Student,6527.231194900362,5100.811912596401,900.6099999999997,rendah,1
6510.5800236479035,Debit,Oklahoma City,Online,7370.426432844079,Retired,10456.48537964794,5100.811912596401,1019.3899999999999,sedang,1
6382.470885122362,Debit,San Antonio,ATM,9132.04672191745,Retired,5088.349380767447,5100.811912596401,4323.66,tinggi,1
1114.072024948367,Debit,Philadelphia,Online,3626.983318563165,Doctor,-445.8114428206891,5100.811912596401,14214.48,sedang,1
4824.942881121186,Credit,Charlotte,Online,7810.831505112422,Doctor,4922.324556059803,5100.811912596401,13357.02,tinggi,0
1495.1788197240708,Debit,Tucson,ATM,-556.8648679860908,Student,4977.666164295684,5100.811912596401,241.78999999999996,rendah,1
5950.192004287573,Debit,Louisville,Branch,1204.75542108728,Student,328.97107248164957,5100.811912596401,868.6099999999997,rendah,0
3448.4853354829265,Debit,Baltimore,Branch,984.5528849531083,Student,2653.318618388667,5100.811912596401,1509.27,rendah,0
9634.761123919534,Debit,Oklahoma City,Online,-556.8648679860908,Student,4313.566865465108,5100.811912596401,781.6999999999998,rendah,1
11722.081249672287,Debit,Denver,Online,984.5528849531083,Student,6139.839937249193,5100.811912596401,265.5100000000002,rendah,0
8115.701646151585,Credit,Kansas City,Online,10453.261938722479,Retired,5199.03259723921,5100.811912596401,3907.54,tinggi,0
2033.9171103670965,Debit,Virginia Beach,Branch,10012.856866454134,Doctor,6527.231194900362,5100.811912596401,14904.899999999998,tinggi,1
3538.12594777524,Debit,San Diego,Branch,1424.9579572214516,Student,6361.206370192718,5100.811912596401,918.8800000000001,rendah,1
2377.4499957987173,Debit,Omaha,ATM,8911.844185783279,Retired,3483.4427419268877,5100.811912596401,4477.78,tinggi,1
6176.351153863389,Debit,Mesa,Branch,764.3503488189372,Student,3096.0514842757175,5100.811912596401,1324.0299999999997,rendah,1
1588.5768229507926,Credit,Columbus,Branch,7810.831505112422,Retired,1380.4616289633955,5100.811912596401,3534.93,tinggi,0
5739.957035338534,Credit,Dallas,Branch,10233.059402588307,Retired,1878.5361030863278,5100.811912596401,4638.37,tinggi,0
7421.121093419528,Debit,Indianapolis,Branch,5829.0086799048795,Engineer,52.26303130224278,5100.811912596401,5630.61,sedang,0
2510.56898890347,Debit,Kansas City,Branch,323.9452765505948,Student,1325.1200207275142,5100.811912596401,930.3000000000002,rendah,0
6761.251675986289,Debit,Las Vegas,Online,5829.0086799048795,Engineer,11009.901462006754,5100.811912596401,6651.62,sedang,0
11265.826636208416,Credit,Philadelphia,Branch,7590.628968978251,Engineer,4258.225257229226,5100.811912596401,8458.29,tinggi,1
608.6134825815288,Debit,Charlotte,Online,6269.413752173222,Doctor,5365.0574219468535,5100.811912596401,13988.119999999999,sedang,0
4107.639059404849,Credit,Nashville,Branch,4507.793463099851,Engineer,8796.2371325715,5100.811912596401,2585.07,sedang,1
5844.80613474631,Debit,Indianapolis,Branch,7590.628968978251,Retired,10954.559853770872,5100.811912596401,3014.75,tinggi,0
9828.356218730478,Debit,Albuquerque,Branch,764.3503488189372,Student,5586.4238548903795,5100.811912596401,1951.42,rendah,0
2603.7880687523634,Credit,Austin,Online,8471.439113514936,Engineer,-611.8362675283333,5100.811912596401,3665.77,tinggi,0
2894.8964044800964,Debit,Atlanta,ATM,4948.198535368194,Engineer,10677.851812591465,5100.811912596401,3846.28,sedang,0
3067.736387462881,Debit,Dallas,Online,2966.375710160651,Engineer,5973.815112541549,5100.811912596401,6374.82,sedang,0
948.56790045657,Debit,Boston,ATM,8911.844185783279,Retired,1546.4864536710397,5100.811912596401,5866.01,tinggi,0
4690.750347749459,Credit,Jacksonville,Online,984.5528849531083,Student,13998.348306744349,5100.811912596401,6537.62,rendah,0
2143.060370842768,Debit,Milwaukee,Branch,4948.198535368194,Doctor,2321.268968973379,5100.811912596401,14676.05,sedang,1
2657.6440054788836,Debit,Miami,Branch,-556.8648679860908,Student,2764.00183486043,5100.811912596401,1362.3900000000003,rendah,1
3623.1145522440006,Debit,Seattle,Online,6269.413752173222,Doctor,2210.5857525016163,5100.811912596401,10528.34,sedang,1
3792.3760676702054,Debit,Denver,ATM,3626.983318563165,Engineer,4147.542040757464,5100.811912596401,552.5199999999995,sedang,0
5155.772206726951,Debit,Denver,Online,6049.211216039051,Doctor,7910.771400797397,5100.811912596401,7176.86,sedang,0
3273.498271966195,Debit,San Diego,Online,2746.1731740264795,Doctor,7191.3304937309385,5100.811912596401,1523.7200000000003,sedang,1
944.8105095221617,Debit,Mesa,Branch,9352.249258051621,Doctor,2321.268968973379,5100.811912596401,9869.93,tinggi,1
677.3200596678525,Credit,San Diego,Online,8031.034041246593,Doctor,8408.84587492033,5100.811912596401,12883.91,tinggi,1
7536.347748741384,Debit,Kansas City,Online,544.147812684766,Student,4036.8588242857013,5100.811912596401,791.6499999999996,rendah,0
13332.928420266497,Credit,Milwaukee,Online,8471.439113514936,Retired,384.3126807175313,5100.811912596401,4064.02,tinggi,1
4632.421326577215,Debit,Houston,Branch,-116.45979571774842,Student,5973.815112541549,5100.811912596401,618.0500000000002,rendah,0
12031.081923182915,Debit,San Antonio,ATM,1645.1604933556227,Engineer,2487.2937936810226,5100.811912596401,1143.52,rendah,1
9606.849076978215,Credit,Mesa,Branch,6489.616288307394,Engineer,5531.082246654498,5100.811912596401,7708.41,sedang,1
15868.272684102987,Credit,San Francisco,Branch,1204.75542108728,Student,8740.895524335618,5100.811912596401,1872.96,rendah,1
959.1243797484794,Debit,Louisville,ATM,7810.831505112422,Engineer,2819.343443096311,5100.811912596401,201.03999999999996,tinggi,0
3146.641597085456,Debit,Charlotte,Branch,10893.667010990823,Retired,5863.131896069786,5100.811912596401,2115.8,tinggi,0
2563.3513853630157,Debit,San Antonio,Branch,3406.780782428994,Doctor,8187.479441976803,5100.811912596401,7643.66,sedang,1
7364.760229403402,Debit,Fort Worth,Branch,1865.3630294897944,Engineer,-169.1034016412832,5100.811912596401,8901.93,rendah,0
